,Q22,tweet,value
0,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
1,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
2,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,5.0
3,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
4,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
5,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
6,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,1.0
7,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
8,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,5.0
9,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
10,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
11,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
12,Female,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,4.0
13,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,2.0
14,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,3.0
15,Male,Movie that wasn't long enough ZOLA Movie that was too long WEST SIDE STORY Movie that was just the right length SHIVA BABY.,1.0
16,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
17,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
18,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
19,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
20,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
21,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",1.0
22,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
23,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
24,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
25,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
26,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
27,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
28,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",2.0
29,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
30,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
31,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
32,Male,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",3.0
33,Female,"if we are taking that deleted scene as canon, can you imagine how Julieta mustve felt hearing her brother say that Her baby brother no less Shes known as the healer, shes supposed to fix things but even her food cant fix that.",4.0
34,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
35,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
